Lat.,Long.,MAT,MAP,AverageDepth,d15N,[N],[C],C:N,Sand,Silt,Clay,pH,Bulk dens,Elevation,Site,Reference,Data author / contact,Doi of associated publication(s)
Degrees,Degrees,T (C) ,mm,cm,permil,%,%,Ratio,Fraction,Fraction,Fraction,,g cm-3,m asl,,,,
47.128,11.304,3,1097,3,0.89679974,9.10149813,79.78809834,8.766479672,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,2.26252814,8.8438803,75.13906956,8.496165372,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,-0.1418819,8.00004795,78.3938694,9.799174941,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,0.20057662,10.19394994,96.28277779,9.445090309,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,0.60578555,9.51238036,89.92505074,9.453475086,0.402148,0.414069,0.183783,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,0.28818488,8.79113495,78.86379242,8.970831738,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,-1.0383208,8.73570263,81.37781143,9.315542765,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,1.30850209,9.71712887,99.38808441,10.22813279,0.37864,0.565598,0.0557615,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,-1.3141853,8.6597842,80.33571243,9.27687233,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,-1.3802847,9.73834366,102.2331452,10.49800138,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,-0.1407818,7.05842555,60.70258617,8.600017913,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,-3.925527,8.5,70.5,8.294117647,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,-1.7045952,6.5,53.1,8.169230769,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,0.04545507,7.96935856,62.52523899,7.845705337,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,11.2003567,7.00376987,59.0340519,8.428896579,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
47.128,11.304,3,1097,3,0.78603248,8.4678781,78.5218668,9.272909444,0.390394,0.4898335,0.11977225,,,1850,Kaserstatt Meadow,1,E. Harris,﻿10.1126/sciadv.abb7118
36.3,-115.5,18,160,5,,,,,,,,,,840,Kyle Canyon USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
36.3,-115.5,14,326,5,5.9,,,,,,,,,1400,Kyle Canyon USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
36.3,-115.5,12,436,5,3.7,,,,,,,,,1750,Kyle Canyon USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
36.3,-115.5,9,549,5,3.8,,,,,,,,,2150,Kyle Canyon USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
38.27,-119.57,18,330,5,1.5,,,,,,,,,470,Sierra Nevada USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
38.27,-119.57,15,570,5,2.5,,,,,,,,,730,Sierra Nevada USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
38.27,-119.57,12,910,5,0.8,,,,,,,,,1240,Sierra Nevada USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
38.27,-119.57,8,1055,5,2.7,,,,,,,,,1950,Sierra Nevada USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
38.27,-119.57,3,1270,5,2.5,,,,,,,,,2890,Sierra Nevada USA,2,D. Brenner,10.1016/S0016-7037(01)00699-8
42.43,86.23,9.2,124,,7.11,0.37,,,,,,7.92,1.39,1300,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.43,86.23,9.2,124,,7.11,0.37,,,,,,7.92,1.39,1300,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.43,86.23,9.2,124,,7.11,0.37,,,,,,7.92,1.39,1300,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.43,86.23,9.2,124,,7.11,0.37,,,,,,7.92,1.39,1300,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.43,86.23,9.2,124,,7.11,0.37,,,,,,7.92,1.39,1300,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.63,86.26,7.7,167,,13.4,0.77,,,,,,7.66,1.43,1550,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.78,86.32,6.1,203,,2.37,0.89,,,,,,8.14,1.46,1820,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.83,86.36,5.3,209,,2.37,1.05,,,,,,8.03,1.78,1950,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.88,86.38,4.5,220,,5.23,1.3,,,,,,8.3,1.35,2080,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.88,86.38,4.5,220,,5.23,1.3,,,,,,8.3,1.35,2080,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.88,86.38,4.5,220,,5.23,1.3,,,,,,8.3,1.35,2080,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.88,86.38,4.5,220,,5.23,1.3,,,,,,8.3,1.35,2080,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.88,86.38,4.5,220,,5.23,1.3,,,,,,8.3,1.35,2080,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.88,86.38,4.5,220,,5.23,1.3,,,,,,8.3,1.35,2080,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.9,86.49,3.6,228,,5,3.37,,,,,,8,1.39,2230,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
42.91,86.57,2.6,236,,3.19,2.2,,,,,,8.36,1.27,2400,Tian Shan China,3,C. Chen,﻿10.5194/bg-15-369-2018
