dt,N2O_ppb,d15Nbulk_permil,SP_permil,d18O_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_SP_permil,sd_d18O_permil,n_N2O_ppb,n_d15Nbulk_permil,n_SP_permil,n_d18O_permil
1740.0,275.2501463334623,,,,2.4746610226816883,,,,6.0,,,
1765.0,271.245,9.25868,,,5.995120932892005,0.6,,,8.0,1.0,,
1790.0,271.29339186671825,10.3224125,,,4.930528241158732,0.5213197436974256,,,17.0,4.0,,
1815.0,270.8334308889749,9.84958,,,5.700751783857792,0.6,,,10.0,1.0,,
1840.0,272.1646648227116,,,,3.9459648321524528,,,,22.0,,,
1865.0,274.6796222565292,,,,4.319789795242912,,,,14.0,,,
1890.0,277.39888421532197,9.26863,,,5.087585735149598,0.4808434125159666,,,28.0,5.0,,
1915.0,285.6506165587049,9.068896071012427,17.015363756310556,45.34,3.987898807856335,0.5226353080512708,1.2,0.25,39.0,4.0,1.0,1.0
1940.0,288.2502195001934,7.285665000000001,,,2.5,0.7110849999999999,,,2.0,2.0,,
1942.0,,,,,,,,,,,,
1944.0,289.0334796667956,,,,0.5105085478513274,,,,3.0,,,
1946.0,,,,,,,,,,,,
1948.0,288.087664625145,,,,2.8796295139550567,,,,4.0,,,
1950.0,288.7502195001934,,,,0.0,,,,2.0,,,
1952.0,290.9251097500967,9.428,,,2.1748902499033136,0.6,,,2.0,1.0,,
1954.0,291.36266462514504,8.758808923161547,19.82536375631056,45.09,1.8440110746217941,0.11,0.85,0.18,4.0,1.0,1.0,1.0
1956.0,290.28513170011604,9.048808923161547,16.675363756310556,45.01,3.617700881497846,0.15,1.2,0.25,7.0,1.0,1.0,1.0
1958.0,293.7502195001934,7.77642,,,2.160246899469287,0.6,,,3.0,1.0,,
1960.0,290.2751097500967,,,,0.5248902499033079,,,,2.0,,,
1962.0,291.9668130001289,,,,3.0046204678147106,,,,3.0,,,
1964.0,294.9500731667311,9.058808923161546,16.455363756310557,45.0,1.9837867184758327,0.11,0.85,0.18,3.0,1.0,1.0,1.0
1966.0,294.5002195001934,,,,0.82915619758885,,,,4.0,,,
1968.0,292.0668130001289,,,,3.1146740689379064,,,,3.0,,,
1970.0,296.4668130001289,8.548808923161547,19.405363756310557,44.62,0.9455317843815845,0.15,1.2,0.24,3.0,1.0,1.0,1.0
1972.0,296.03347966679553,,,,4.5674387766233675,,,,3.0,,,
1974.0,297.7502195001934,,,,,,,,1.0,,,
1976.0,300.10021950019336,,,,0.6500000000000057,,,,2.0,,,
1978.0,301.8712718804138,8.248475843095871,17.270610204941196,44.68538461538461,6.692561289059719,0.07249307873338824,1.1196049176373037,0.298298131318197,24.0,4.0,3.0,3.0
1980.0,300.8749713579835,,,,0.6549514401214864,,,,24.0,,,
1982.0,303.1336229461725,8.081853017816572,16.7685159095909,44.353693877551024,0.775947360540018,0.060329986782982,0.9324213393072037,0.16415599898673217,53.0,2.0,2.0,2.0
1984.0,304.0646761627463,8.152806345187392,17.215148666479656,44.95,0.6014592546704681,0.04499999999999993,1.9350000000000007,0.05999999999999872,45.0,2.0,2.0,2.0
1986.0,305.01223311746344,7.593280517242211,18.65208533483925,44.61090217391305,0.7484494583105264,0.37004871597255407,1.9655573014184564,0.21559039563701957,32.0,7.0,6.0,6.0
1988.0,306.5219786277863,7.556289113493245,20.139027831533646,44.462961335676624,0.7784319933392954,0.2949440018786109,1.09097515178808,0.294364273298153,30.0,3.0,3.0,3.0
1990.0,308.5517024651327,7.974454981373503,17.61312764373218,44.4181626984127,0.8029908480016443,0.2571364690351567,1.8517428231700155,0.3096791579530276,37.0,11.0,10.0,10.0
1992.0,309.7457545190481,7.716663564588861,18.383044042063037,44.59055244755245,0.3001991624923028,0.12397418522797256,0.6231373072865795,0.5155545548218005,34.0,3.0,3.0,3.0
1994.0,310.50756073396894,7.61322907017889,18.989825846537286,44.53569135034225,0.49628512822949344,0.2008139493370803,1.7664762904584754,0.2553012483053926,45.0,8.0,8.0,8.0
