Ref,Author_Year,Location,Lat,Long,Precip_mm,Temp_C,Precip_avg_mm,Temp_avg_C,IPCC_climclass,Soil_Texture,Soil_Class,Soil_Sand_perc,Soil_Silt_perc,Soil_Clay_perc,Soil_SOC_perc,Soil_SON_perc,Soil_BD_gcm3,pH,CEC,Man_PreCrop,Man_LandType,Man_Crop,Man_Management,n_measurements,Method,Chamber_Area_m2,Chamber_Closure_min,Chamber_Int,Chamber_out,n_measurements_2,Year_type,Year,Duration,Reps,Fert_Type,Fert_Mode_App,Fert_n_App,n_Crops,Residues,tillage,till_depth,cover_crop,Irrigation_YN,Liming,N_App_Rate_kgN_ha,N_uptake_kgN_ha,N2O_kgN2O-N_ha,N2O_se_kgN2O-N_ha,N2O_Interp_Method,EF,deltaEF,CropType,FertType,STD,avgPrecip,avgTemp,SoilTexture,SoilTexture2,PrecipClass,TempClass
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,1.94,0.19,NA,7.4,NA,NA,cropland,"spring barley, cv. tavern",CT,12,static,0.27,NA,NA,NA,3,NA,2004,120,2,calcium ammonium nitrate (CAN),NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0.01,0.13,NA,NA,2.86E-03,Upland Grain,Calcium ammonium nitrate,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,0.26,0.26,NA,0.357142857,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,0.79,0.08,NA,0.557142857,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,RT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.09,0.03,NA,NA,9.18E-04,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,0.49,0.28,NA,0.571428571,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,0.98,0.21,NA,0.635714286,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,CT,NA,NA,NA,NA,NA,NA,NA,NA,2005,120,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,NA,0.16,0.03,NA,NA,1.94E-03,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,0.39,0.1,NA,0.291139241,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,0.87,0.04,NA,0.446540881,NA,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
1,"Abdalla et al., 2010","Carlow, Ireland",52.85,-6.91,NA,NA,NA,NA,NA,sandy loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cropland,NA,RT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.13,0.09,NA,NA,1.78E-03,NA,NA,NA,1079.521,9.329,sandy loam,Coarse,avg,cool temperate
