Location, Ecosystem type, Method, Note, Reference, WFPS(%), N2O/(N2O+NO), N2O/(N2O+N2),NH3/(N2O+N2)
Michigan USA, Successional forest, C2H2, Cropped soils are not included, Bai: (Bergsma et al. 2002),85.000,,0.340,
Michigan USA, Successional forest, C2H2, Cropped soils are not included, Bai: (Bergsma et al. 2002),85.000,,0.330,
Missisippi USA, Forest, C2H2, No difference between control and NO3 treatment, Bai: (Ullah et al. 2005),70.000,,0.280,
Missisippi USA, Forest, C2H2, No difference between control and NO3 treatment, Bai: (Ullah et al. 2005),85.000,,0.120,
Missisippi USA, Forest, C2H2, No difference between control and NO3 treatment, Bai: (Ullah et al. 2005),85.000,,0.120,
Gottinger and Solling Germany, Forest, N-15, 8-day average, Bai: (Wolf and Brumme 2003),70.000,,0.730,
Gottinger and Solling Germany, Forest, N-15, 8-day average, Bai: (Wolf and Brumme 2003),73.000,,0.880,
Gottinger and Solling Germany, Forest, N-15, 8-day average, Bai: (Wolf and Brumme 2003),84.000,,1.000,
Buenos Aires Province Argentina, Native grassland, C2H2, n=204, Bai: (Ciarlo et al. 2007),40.000,,0.320,
Buenos Aires Province Argentina, Native grassland, C2H2, n=204, Bai: (Ciarlo et al. 2007),80.000,,0.270,
Buenos Aires Province Argentina, Native grassland, C2H2, n=204, Bai: (Ciarlo et al. 2007),100.000,,0.190,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),72.200,,0.440,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),72.200,,0.710,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),80.400,,0.230,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),74.000,,0.400,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),74.800,,0.320,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),77.900,,0.150,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),87.400,,0.060,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),56.700,,0.060,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),77.200,,0.350,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),69.600,,0.080,
Oberbutschel Switzerland, Grassland (fertilized), C2H2, three samples each plot, Bai: (Rudaz et al. 1999),66.500,,0.100,
